"Season","Team","Inn","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","CPP","RPP","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def"
"2011","White Sox","13140.0","-2","3","-12","-4","9","-12","2246","1879",".837","437","62","-1.6","","-19","-12.0","2.9","-8.0","11.1","-6.0","-2.6","-13.5"
"2014","Phillies","13215.0","4","-5","1","-9","-28","-34","2306","1916",".831","459","86","4.8","","-23","-7.0","-8.2","-13.2","6.9","-21.6","-4.7","-13.7"
"2011","Astros","12915.0","-2","-3","7","18","-5","12","2208","1828",".828","450","72","6.0","","-26","1.0","1.3","-11.7","-3.0","-12.4","-1.4","-14.3"
"2008","Royals","13011.0","-4","8","-13","-3","-47","-63","2451","2033",".830","332","69","-0.6","","","-10.4","-0.1","1.1","-0.9","-10.4","-3.2","-14.9"
"2003","Reds","13017.0","-1","-3","2","0","7","-4","2592","1933",".746","344","","","","","5.2","-3.2","-2.9","-10.7","-11.6","-0.9","-15.6"
"2015","Yankees","13119.0","0","-1","-8","-4","-23","-38","2156","1732",".803","525","","","","11","-12.4","0.4","-6.7","-1.2","-19.9","-4.9","-15.9"
"2013","Angels","13119.0","-5","-2","-9","-15","-34","-72","2290","1865",".814","469","70","-1.2","","-1","-8.7","-2.7","14.1","-5.6","-2.9","-2.1","-16.1"
"2010","Marlins","12945.0","0","-3","10","7","-52","-39","2284","1845",".808","439","64","1.5","","-15","9.2","-3.6","-13.9","-9.6","-17.9","-1.5","-16.4"
"2004","Marlins","12951.0","-3","2","-8","8","17","9","2378","1779",".748","349","","","","","-14.6","6.0","-11.6","12.8","-7.5","-3.2","-16.5"
"2012","Orioles","13347.0","4","0","-1","-6","-12","-5","2266","1872",".826","507","58","2.8","","16","-4.4","-0.1","-17.3","-7.1","-28.8","-4.7","-17.1"
"2004","Padres","12969.0","1","1","-5","3","-12","-17","2522","1850",".734","368","","","","","-4.0","4.8","-13.2","-5.8","-18.2","-2.5","-17.2"
"2008","Mariners","12918.0","-5","3","11","10","-6","16","2400","1976",".823","447","61","-2.5","","","8.3","4.0","-27.6","2.5","-12.9","-0.1","-17.4"
"2003","Mets","12720.0","-1","-1","2","0","-44","-41","2622","1933",".737","385","","","","","1.8","-0.7","-16.7","-7.0","-22.5","-2.7","-17.5"
"2015","Reds","13080.0","-4","-2","-1","0","8","-6","2201","1818",".826","494","","","","18","2.0","-1.5","-10.0","0.6","-9.0","-0.9","-18.0"
"2012","Padres","12912.0","1","-8","-9","1","-18","-35","2137","1796",".840","470","85","3.5","","-7","-2.3","-8.6","-2.2","-3.5","-16.6","-3.9","-18.0"
"2011","Braves","13317.0","0","-2","-8","-8","21","1","2163","1814",".839","476","94","5.5","","7","-3.7","0.5","-21.8","5.9","-19.2","-3.2","-18.7"
"2008","Braves","12966.0","1","-7","2","-5","26","22","2321","1927",".830","462","58","1.8","","","0.1","-6.7","-14.0","1.1","-19.4","-3.1","-18.7"
"2007","Athletics","13032.0","-1","5","-8","-13","14","7","2499","2091",".837","373","","","","","-16.9","-1.5","-1.5","4.1","-15.8","-5.3","-18.8"
"2012","Pirates","12900.0","-12","-1","-14","-10","24","-30","2220","1860",".838","492","76","4.6","","-21","-13.2","-1.1","19.2","-4.6","0.4","-2.6","-19.0"
"2011","Marlins","13137.0","-3","-1","6","-11","-42","-60","2222","1835",".826","460","59","0.9","","-1","1.8","0.0","-12.9","-2.9","-14.0","-1.5","-19.2"
"2005","Red Sox","12861.0","-7","1","8","-4","-28","-35","2763","2037",".737","404","","","","","1.0","0.8","-14.0","0.5","-11.8","-1.3","-19.8"
"2002","Royals","12969.0","0","0","0","0","0","0","0","0","","0","","","","","3.2","1.7","-21.2","-3.4","-19.8","-1.8","-19.8"
"2010","Braves","12954.0","5","4","-6","-2","20","17","2212","1809",".818","461","76","8.3","","-19","-4.5","2.6","-25.1","-6.2","-33.2","-5.1","-20.0"
"2016","Rockies","12864.0","1","-1","-3","-6","25","11","2123","1653",".779","643","","","","","2.4","-3.7","-18.1","0.9","-18.4","-2.8","-20.4"
"2007","Pirates","13029.0","-2","8","1","4","-38","-24","2502","2022",".808","366","","","","","1.2","3.4","-33.6","11.0","-18.0","-1.9","-21.0"
"2015","Brewers","12915.0","3","-3","-7","-15","9","-14","2174","1782",".820","463","","","","-5","-12.4","-3.7","-3.7","-4.5","-24.4","-5.6","-21.4"
"2011","Athletics","13029.0","2","2","-5","7","-35","-35","2175","1790",".823","490","63","0.4","","-14","-6.8","3.2","-6.3","-12.9","-22.8","-4.2","-21.5"
"2002","Padres","12927.0","0","0","0","0","0","0","0","0","","0","","","","","5.0","0.2","-19.5","-7.2","-21.5","-2.0","-21.5"
"2006","White Sox","13041.0","-2","2","-7","-11","-17","-36","2510","2053",".818","355","","","","","-14.3","-2.0","-4.9","5.4","-15.9","-4.9","-21.9"
"2010","Rockies","12978.0","9","4","-12","-2","18","29","2266","1864",".823","387","71","-5.4","","22","-8.1","5.5","-28.5","0.5","-30.6","-5.2","-22.0"
"2009","Rockies","12945.0","-3","2","-6","6","16","12","2242","1868",".833","436","67","3.8","","39","-5.7","2.3","-25.9","10.4","-18.8","-3.1","-22.0"
"2011","Pirates","13044.0","-1","-5","-9","-7","-6","-32","2294","1920",".837","496","62","-4.0","","-16","-6.2","-6.2","-6.3","0.5","-18.2","-3.5","-23.2"
"2005","Padres","13098.0","-1","0","-13","-7","-21","-47","2648","1910",".721","418","","","","","-5.6","0.3","-9.1","-1.0","-15.4","-2.9","-23.4"
"2015","Mariners","13167.0","2","-4","-11","-3","-45","-60","2253","1831",".813","475","","","","-9","-9.2","-0.3","-29.9","9.7","-29.6","-5.3","-23.6"
"2008","Pirates","13095.0","4","1","-7","6","-15","-13","2481","2049",".826","442","61","-3.1","","","-5.1","-2.5","-18.1","1.1","-24.6","-3.9","-23.7"
"2006","Nationals","12927.0","-5","-13","8","-2","-29","-50","2455","1996",".813","381","","","","","6.1","-6.8","1.2","-15.6","-15.1","-2.0","-24.1"
"2009","Orioles","12861.0","-7","1","16","21","-40","-9","2458","2038",".829","440","66","7.7","","4","15.4","0.1","-43.0","4.5","-23.0","-0.4","-24.3"
"2011","Cardinals","13158.0","-1","1","-7","4","-3","-11","2389","1977",".828","473","80","5.0","","-19","-8.0","3.2","-18.2","-11.6","-34.7","-5.7","-24.6"
"2012","Marlins","12966.0","-3","3","-7","-10","-32","-51","2305","1903",".826","447","60","1.5","","6","-1.0","4.1","-26.0","-1.7","-24.5","-2.9","-25.0"
"2015","Rockies","12837.0","-1","5","-20","5","16","-5","2229","1800",".808","557","","","","22","-11.7","0.7","-13.9","0.3","-24.6","-5.0","-25.6"
"2006","Diamondbacks","13137.0","-1","7","-13","0","14","5","2462","2011",".817","375","","","","","-10.8","6.1","-23.1","0.2","-27.7","-5.0","-25.7"
"2004","Tigers","12957.0","1","4","-4","-9","-29","-39","2389","1741",".729","357","","","","","-8.2","4.5","-15.2","-7.8","-26.7","-4.5","-25.7"
"2009","Marlins","13017.0","-3","-5","-4","-16","-32","-69","2242","1827",".815","446","57","-2.6","","-42","-2.2","-3.2","0.3","-10.9","-16.1","-2.9","-25.7"
"2002","Athletics","13068.0","0","0","0","0","0","0","0","0","","0","","","","","-11.8","-1.9","-14.1","1.0","-26.8","-6.0","-26.8"
"2007","Astros","13182.0","-6","-9","-5","-2","-25","-40","2468","2001",".811","400","","","","","-1.7","-5.2","-11.9","-5.2","-24.1","-3.9","-27.1"
"2015","Athletics","13002.0","2","-2","-4","-17","26","16","2187","1785",".816","556","","","","-13","-9.5","1.4","-5.7","-19.4","-33.2","-5.9","-27.2"
"2007","Dodgers","13050.0","7","-1","-22","17","-17","-4","2375","1946",".819","338","","","","","-17.9","-0.9","-17.6","-3.1","-39.5","-9.0","-27.5"
"2013","Marlins","13140.0","1","1","-6","-10","11","0","2198","1857",".845","522","51","-3.7","","-5","-1.9","2.7","-42.0","12.2","-28.9","-3.8","-27.6"
"2012","Tigers","12876.0","-2","4","-10","0","-16","-30","2068","1734",".839","427","65","0.2","","-27","-11.1","2.3","-15.6","1.4","-22.9","-4.9","-27.7"
"2016","Mariners","13113.0","-3","7","-2","3","-22","-22","2054","1616",".787","648","","","","","-1.7","1.6","-17.2","-7.6","-24.9","-4.1","-27.9"
"2016","Braves","13029.0","-8","-2","9","-5","-24","-37","2147","1700",".792","626","","","","","5.2","0.9","-11.5","-7.5","-12.9","-0.6","-27.9"
"2004","Mets","13041.0","-6","-4","1","-4","-10","-23","2689","1982",".737","368","","","","","-5.9","-1.0","8.9","-23.2","-21.2","-3.8","-28.2"
"2013","White Sox","13095.0","3","4","0","-10","-49","-53","2186","1797",".822","457","57","-5.4","","-39","-0.7","6.1","-17.5","-13.2","-25.4","-2.8","-28.7"
"2007","Reds","13047.0","1","3","-1","-15","-44","-59","2469","2008",".813","345","","","","","-7.8","1.5","-26.9","2.3","-30.9","-5.2","-28.9"
"2011","Blue Jays","13128.0","-4","-2","4","-20","17","-4","2229","1888",".847","500","66","-8.4","","-17","6.2","-2.3","-16.7","-1.8","-14.5","-1.0","-28.9"
"2009","Mets","12834.0","0","-4","-2","4","10","14","2237","1867",".835","432","51","0.9","","-27","-2.9","-4.4","-20.2","-7.2","-34.7","-5.5","-29.8"
"2013","Blue Jays","13068.0","-5","3","16","3","-8","15","2182","1808",".829","478","74","-0.9","","-35","-0.8","2.1","-15.6","-10.7","-25.1","-3.1","-29.9"
"2009","White Sox","12957.0","0","0","0","0","-10","-8","2290","1908",".833","408","55","-2.1","","-45","0.2","2.0","-24.0","-8.2","-30.1","-3.7","-30.1"
"2004","Pirates","12852.0","1","5","6","8","-23","-4","2336","1712",".733","309","","","","","-3.8","7.7","-44.6","4.5","-36.2","-4.9","-30.2"
"2009","Blue Jays","13059.0","5","-4","10","5","33","46","2275","1908",".839","445","64","2.5","","16","0.5","-5.7","-48.1","12.6","-40.8","-5.7","-30.2"
"2014","Pirates","13107.0","6","3","4","-2","16","28","2246","1828",".814","491","97","1.0","","18","-2.0","-0.3","-36.3","-1.6","-40.3","-6.1","-30.2"
"2015","Pirates","13407.0","-1","4","15","-5","8","8","2163","1743",".806","555","","","","-1","7.3","3.8","-15.1","-16.9","-20.8","-1.8","-30.8"
"2002","Marlins","13107.0","0","0","0","0","0","0","0","0","","0","","","","","0.9","1.5","-32.8","-0.6","-31.0","-3.8","-31.0"
"2015","Phillies","12927.0","-1","-2","-4","-6","-77","-92","2320","1880",".810","482","","","","-51","3.4","-2.0","-24.5","-8.1","-31.1","-3.3","-31.1"
"2008","White Sox","13119.0","-5","4","-6","3","-20","-34","2352","1932",".821","382","50","-1.8","","","-1.6","2.3","-10.9","-6.3","-16.5","-2.4","-31.3"
"2015","Padres","12963.0","2","0","-10","5","-25","-28","2056","1673",".814","487","","","","-38","-9.3","0.2","-27.7","2.4","-34.4","-6.4","-31.4"
"2004","Royals","12783.0","-1","11","-5","-8","-29","-32","2452","1786",".728","287","","","","","-5.0","9.1","-26.6","-9.3","-31.9","-3.8","-31.9"
"2008","Reds","12981.0","-2","-3","4","-1","-21","-29","2223","1827",".822","410","81","5.1","","","1.0","0.6","-26.6","-7.3","-32.3","-4.1","-32.2"
"2013","Tigers","13164.0","-11","3","-5","-5","-44","-66","2135","1770",".829","452","59","-3.4","","-22","-9.8","3.1","-18.5","12.3","-12.9","-3.1","-32.3"
"2004","Diamondbacks","12924.0","2","-12","-8","-8","19","-7","2510","1829",".729","332","","","","","-9.1","-5.6","-1.9","-19.1","-35.7","-6.8","-32.7"
"2016","Cardinals","13035.0","-5","3","-10","-2","13","4","2113","1716",".812","543","","","","","-10.5","0.5","-11.5","-5.2","-26.8","-4.9","-32.8"
"2016","Padres","12960.0","-2","-1","-15","1","-25","-33","2105","1684",".800","594","","","","","-11.2","-0.4","-12.9","-2.4","-26.8","-5.3","-32.8"
"2005","Mets","12921.0","-9","4","8","1","-14","-18","2681","1993",".743","353","","","","","17.8","-0.4","-24.0","-7.7","-14.4","1.1","-33.4"
"2003","Athletics","12975.0","2","-2","-6","0","13","10","2324","1756",".756","325","","","","","-11.5","-5.1","-26.5","6.7","-36.4","-8.2","-33.4"
"2010","Dodgers","12975.0","2","-7","-12","-5","-39","-66","2197","1840",".838","372","64","0.3","","-10","-8.1","-5.8","-19.4","-2.7","-36.1","-7.2","-33.8"
"2012","Astros","12810.0","-1","-3","3","-9","-51","-72","2226","1803",".810","475","63","-8.3","","-36","3.0","-6.0","-12.8","-4.3","-20.1","-3.0","-34.4"
"2016","Diamondbacks","13062.0","3","3","-20","4","-1","-12","2195","1742",".794","534","","","","","-10.4","3.4","-33.7","0.8","-39.9","-6.1","-34.9"
"2006","Red Sox","12972.0","-7","7","-1","4","-51","-57","2520","2018",".801","357","","","","","2.2","1.7","-43.4","17.7","-21.9","-2.3","-34.9"
"2009","Twins","13077.0","-7","-2","-14","7","-38","-52","2343","1958",".836","442","52","-1.9","","-2","-11.5","-3.4","-22.0","11.6","-25.3","-5.5","-35.2"
"2010","Indians","12897.0","-1","0","16","1","-14","-3","2490","2029",".815","447","60","-0.9","","-36","11.2","0.4","-41.2","-4.2","-33.8","-2.5","-35.7"
"2009","Nationals","12819.0","0","0","0","-22","-14","-36","2368","1945",".821","508","67","-4.3","","-15","0.9","2.0","-19.1","-20.2","-36.4","-4.1","-35.7"
"2002","Indians","12822.0","0","0","0","0","0","0","0","0","","0","","","","","-8.6","-0.3","-28.9","2.0","-35.9","-6.2","-35.9"
"2013","Twins","13053.0","3","0","10","9","-29","-4","2367","1989",".840","463","51","0.3","","-15","10.8","1.7","-62.0","6.6","-42.9","-3.1","-36.7"
"2013","Cardinals","13137.0","1","5","-18","-3","-34","-35","2234","1855",".830","499","56","6.4","","-21","-22.9","4.3","-41.8","11.0","-49.4","-10.6","-37.0"
"2010","White Sox","13017.0","2","3","-13","-3","-46","-52","2384","1905",".799","427","56","-1.7","","-1","-9.6","2.8","-31.3","-3.7","-41.8","-6.9","-37.5"
"2007","Marlins","12993.0","3","2","10","-10","-74","-71","2388","1903",".797","374","","","","","6.9","5.0","-42.2","-13.8","-44.0","-4.4","-38.0"
"2011","Indians","13080.0","2","-4","5","-15","0","-9","2372","1996",".842","474","51","-0.5","","-2","-2.5","-5.8","-30.5","-3.4","-42.2","-6.2","-38.8"
"2012","Mets","12906.0","-3","-2","-4","-6","-32","-43","2086","1739",".834","438","76","-0.4","","-22","-8.1","-2.6","-24.5","0.7","-34.5","-6.6","-38.9"
"2016","Brewers","12909.0","5","-3","1","-3","11","3","2084","1674",".803","609","","","","","0.2","-2.8","-25.5","-19.9","-48.1","-7.7","-39.1"
"2010","Red Sox","13110.0","-5","0","9","-2","22","5","2285","1894",".829","414","61","-2.7","","-1","-0.9","1.6","-15.8","-3.7","-18.8","-2.5","-39.4"
"2007","Yankees","13056.0","-6","12","11","-8","-16","-16","2515","2086",".829","330","","","","","9.1","5.6","-39.6","-0.5","-25.4","-1.1","-39.4"
"2008","Yankees","12975.0","2","-1","9","8","-55","-41","2409","1968",".817","356","61","-0.2","","","4.9","-3.3","-47.6","3.5","-42.5","-5.1","-39.7"
"2007","White Sox","12966.0","-1","1","-6","-8","-56","-63","2523","2030",".805","319","","","","","-11.0","-3.5","-19.4","-4.9","-38.8","-7.0","-39.8"
"2002","Yankees","13068.0","0","0","0","0","0","0","0","0","","0","","","","","-9.8","-0.5","-16.6","-12.9","-39.9","-7.4","-39.9"
"2016","Pirates","13056.0","-1","2","10","-8","-15","-17","2140","1700",".794","568","","","","","10.0","0.5","-33.4","-10.1","-33.0","-3.7","-40.0"
"2005","Rangers","12960.0","-3","-3","2","-7","-22","-42","2798","2085",".745","388","","","","","1.8","-6.3","-34.6","3.5","-35.6","-4.8","-40.6"
"2008","Padres","13125.0","-1","-1","-10","-4","11","-15","2274","1905",".838","434","50","-0.2","","","-13.9","-1.2","-22.8","13.1","-24.8","-6.0","-41.0"
"2007","Mariners","12909.0","0","2","2","-11","-36","-46","2450","1966",".802","395","","","","","5.1","1.5","-62.1","2.4","-53.1","-6.1","-41.1"
"2013","Indians","12972.0","5","0","5","-2","-38","-38","2066","1734",".839","439","58","-4.7","","-30","8.3","-1.1","-47.1","-2.6","-42.5","-4.5","-41.1"
"2015","White Sox","13074.0","-3","6","8","2","-55","-39","2124","1702",".801","479","","","","-42","-3.3","5.9","-41.3","-0.8","-39.5","-5.2","-41.5"
"2005","Marlins","12981.0","-1","-1","1","-5","-69","-74","2587","1871",".723","326","","","","","7.8","5.1","-50.8","2.1","-35.7","-3.2","-41.7"
"2014","Tigers","13086.0","1","1","-10","2","-52","-61","2333","1882",".807","440","76","4.0","","-17","-6.4","-1.1","-44.1","3.4","-48.1","-6.9","-42.2"
"2004","Rockies","12918.0","-7","-9","-16","0","13","-22","2465","1767",".717","408","","","","","-1.9","-4.1","-50.0","19.8","-36.2","-5.1","-43.2"
"2005","Reds","12897.0","1","-5","14","0","-56","-44","2840","2051",".722","341","","","","","1.0","-3.9","-47.0","3.3","-46.6","-6.1","-43.6"
"2005","Diamondbacks","13107.0","-1","1","-15","0","1","-12","2794","2024",".724","347","","","","","-5.5","-2.2","-44.9","8.6","-44.0","-6.8","-44.0"
"2003","Royals","12948.0","2","0","4","0","-49","-47","2706","1971",".728","357","","","","","2.4","2.6","-49.3","-0.9","-45.2","-5.0","-44.2"
"2009","Indians","12906.0","-5","3","-4","-5","-6","-19","2376","1956",".823","476","49","-2.8","","-11","-9.5","2.8","-21.1","-3.8","-31.6","-5.2","-44.4"
"2003","Diamondbacks","13095.0","2","-7","-12","0","-24","-41","2372","1773",".748","331","","","","","-10.0","-6.0","-31.3","2.7","-44.5","-8.8","-44.5"
"2003","Tigers","12948.0","-1","5","-20","0","-21","-35","2795","2022",".723","380","","","","","-22.5","3.7","-5.1","-18.9","-42.9","-8.4","-44.9"
"2016","Twins","12987.0","-3","-2","-5","-2","-36","-49","2221","1776",".800","546","","","","","-5.1","0.9","-26.7","-12.8","-43.7","-5.9","-45.7"
"2014","Twins","12915.0","-9","-1","2","11","-66","-69","2414","1997",".827","428","67","0.0","","-34","2.7","-0.7","-39.2","2.7","-34.5","-3.8","-46.5"
"2006","Dodgers","13143.0","-4","-6","-5","-12","-6","-33","2540","2080",".819","344","","","","","-2.5","-3.0","-29.5","-4.9","-39.9","-5.7","-46.9"
"2011","Orioles","13020.0","5","1","2","19","-35","-5","2365","1946",".823","449","66","7.6","","7","5.4","4.1","-66.8","-2.8","-60.1","-6.4","-47.5"
"2014","White Sox","12969.0","-1","8","-3","3","-59","-52","2320","1847",".796","531","82","-5.9","","-24","-2.2","10.0","-41.6","-5.4","-39.1","-4.4","-48.0"
"2008","Dodgers","13026.0","0","-8","-2","0","-3","-12","2330","1922",".825","444","68","4.8","","","2.9","-2.6","-55.7","3.1","-52.4","-6.6","-48.6"
"2003","Red Sox","13182.0","0","-4","3","0","-11","-22","2807","2048",".730","371","","","","","0.3","-5.7","-37.9","-3.1","-46.4","-6.6","-49.4"
"2006","Pirates","12915.0","0","1","-7","-1","-50","-36","2426","1945",".802","312","","","","","-0.6","4.0","-65.5","8.4","-53.7","-6.8","-49.7"
"2007","Devil Rays","12867.0","-3","1","12","-6","-89","-82","2406","1905",".792","334","","","","","8.7","-2.3","-49.4","-5.3","-48.2","-5.5","-50.2"
"2002","Expos","13077.0","0","0","0","0","0","0","0","0","","0","","","","","15.4","-5.5","-47.3","-14.2","-51.6","-4.0","-51.6"
"2006","Indians","12810.0","-8","5","-6","6","-32","-46","2565","2058",".802","374","","","","","-1.8","0.8","-32.1","-6.2","-39.3","-5.3","-53.3"
"2002","Tigers","12726.0","0","0","0","0","0","0","0","0","","0","","","","","8.4","0.4","-48.1","-14.2","-53.5","-5.3","-53.5"
"2008","Rockies","13014.0","1","3","-12","-3","-17","-21","2433","2040",".839","364","61","-1.6","","","-8.8","2.3","-56.3","3.4","-59.4","-8.7","-55.0"
"2010","Royals","12930.0","-1","-9","-10","-20","-52","-91","2485","2023",".814","392","75","3.0","","-79","-8.6","-9.1","-25.7","-12.1","-55.5","-8.9","-55.5"
"2016","Athletics","12900.0","-5","1","-8","-10","-55","-72","2215","1770",".799","544","","","","","-7.6","-3.1","-39.7","-3.0","-53.4","-8.2","-56.4"
"2008","Rangers","12978.0","-4","5","3","-9","-47","-55","2485","2021",".813","453","51","-5.5","","","2.1","-1.6","-43.1","-3.6","-46.2","-5.7","-57.8"
"2003","Yankees","13158.0","3","-4","-9","0","-21","-36","2704","1959",".725","343","","","","","-6.6","-2.8","-44.4","-6.0","-59.8","-9.5","-57.8"
"2008","Tigers","13005.0","2","2","-8","-11","-31","-32","2399","1965",".819","421","57","-5.6","","","-8.0","-3.6","-42.4","-6.3","-60.3","-9.3","-57.9"
"2012","Indians","12978.0","-1","2","0","-9","-31","-47","2357","1977",".839","481","71","-3.8","","-11","-4.4","0.7","-41.4","-3.9","-49.0","-6.8","-59.8"
"2004","Red Sox","13062.0","-4","-7","-7","-7","9","-26","2654","1936",".730","436","","","","","-10.2","-7.2","-21.8","-7.7","-46.9","-8.8","-59.9"
"2009","Royals","12834.0","-6","-2","-4","-17","-75","-104","2298","1861",".810","423","85","-4.8","","-74","3.7","-3.9","-39.1","-12.2","-51.5","-6.6","-64.3"
"2005","Royals","12720.0","2","5","-7","-7","-110","-112","2747","1993",".726","373","","","","","0.1","1.1","-62.2","-12.5","-73.6","-9.4","-64.6"
"2014","Indians","13215.0","4","-5","4","8","-77","-66","2211","1785",".807","443","86","2.6","","-27","1.7","-2.8","-62.8","-8.6","-72.4","-9.7","-64.8"
"2003","Brewers","13068.0","2","-3","1","0","-70","-82","2518","1814",".720","335","","","","","5.7","-4.2","-55.3","-10.0","-63.9","-7.7","-64.9"
"2012","Rockies","12798.0","-1","-6","0","-24","-65","-98","2269","1846",".814","429","76","-12.7","","-15","7.4","-4.1","-49.4","-5.1","-51.2","-5.9","-64.9"
"2010","Pirates","12705.0","-6","-2","5","-9","-62","-76","2366","1855",".784","449","72","1.8","","-36","1.7","-4.3","-47.0","-8.2","-57.7","-7.7","-64.9"
"2013","Astros","12960.0","1","4","-6","4","-42","-44","2279","1864",".818","504","69","0.5","","-8","-11.0","3.0","-37.0","-16.6","-61.7","-9.8","-65.2"
"2008","Diamondbacks","12912.0","-3","0","-11","-13","4","-32","2239","1831",".818","393","50","-3.5","","","-8.0","-1.8","-36.2","-10.5","-56.5","-9.3","-66.0"
"2013","Phillies","12927.0","-3","-1","4","5","-98","-96","2209","1810",".819","449","62","4.3","","-23","-1.9","-2.1","-62.1","0.2","-65.9","-9.0","-67.6"
"2007","Padres","13362.0","-12","1","-5","0","33","-3","2444","2032",".831","376","","","","","-8.4","3.3","-44.1","8.0","-41.3","-6.7","-72.3"
"2011","Mets","13032.0","-7","-10","1","-15","-31","-58","2250","1870",".831","462","70","-1.6","","-19","-7.6","-6.9","-33.2","-14.2","-61.9","-9.8","-72.5"
"2014","Astros","12948.0","-3","2","-1","7","-10","-17","2166","1712",".790","643","82","0.0","","-25","-12.3","0.4","-30.8","-21.3","-63.9","-12.3","-74.0"
"2006","Yankees","12993.0","3","1","-8","3","-34","-39","2485","2040",".821","304","","","","","-6.5","-1.5","-62.6","-9.4","-80.1","-11.8","-75.1"
"2004","Yankees","12993.0","-4","-2","-3","-5","-54","-79","2646","1907",".721","306","","","","","-6.7","-2.4","-70.6","10.3","-69.4","-10.3","-78.4"
"2013","Mariners","13185.0","-2","-4","-15","-12","-59","-97","2315","1895",".819","470","70","-2.5","","-43","-14.4","0.2","-56.3","-2.5","-73.0","-11.6","-78.4"
"2003","Blue Jays","12915.0","-8","-1","-12","0","-12","-47","2617","1908",".729","346","","","","","-14.5","-5.9","-43.2","-1.8","-65.5","-11.8","-84.5"
"2005","Yankees","12876.0","-2","-3","-7","6","-104","-120","2841","2040",".718","328","","","","","-4.0","-4.2","-136.0","2.4","-141.7","-19.2","-147.7"
